,user_id,treatment_group,seats_purchased,user_purchased
0,18661343440,treatment,0,0
1,12383779858,control,3,1
2,21380921198,treatment_B,0,0
3,14932979248,control,0,0
4,21226245936,control,1,1
5,21226245936,control,1,1
6,21226245936,control,2,1
7,207399516,control,0,0
8,19356934633,treatment_B,0,0
9,17289275109,treatment,0,0
10,22142143848,treatment_B,0,0
11,23572399842,treatment_B,0,0
12,10463939701,control,0,0
13,23266183758,control,0,0
14,6048025182,treatment,0,0
15,18003875208,control,0,0
16,204161417,treatment,4,1
17,16188702608,control,0,0
18,249247890,treatment,1,1
19,14080671256,control,0,0
20,204651482,treatment_B,0,0
21,17183200014,treatment_B,0,0
22,18977066830,treatment,0,0
23,23117544716,control,0,0
24,18588406709,treatment_B,0,0
25,22533656295,control,0,0
26,19658732304,treatment,0,0
27,213814164,treatment,1,1
28,237369005,control,1,1
29,200110134,control,0,0
30,241973425,treatment_B,0,0
31,21435958631,control,1,1
32,263244394,treatment,0,0
33,23128517064,treatment_B,0,0
34,23537283106,control,0,0
35,23047999403,treatment_B,0,0
36,23651837013,control,0,0
37,23208920188,treatment,0,0
38,23502501625,treatment_B,0,0
39,2128799,treatment,0,0
40,21977364171,treatment_B,0,0
41,23411652411,treatment_B,0,0
42,1776300553,control,0,0
43,22918293926,treatment_B,0,0
44,19537183742,treatment,1,1
45,19537183742,treatment,3,1
46,18988641939,control,1,1
47,188863372,treatment_B,0,0
48,11594302696,treatment,0,0
49,15470882516,control,0,0
50,203344263,treatment,1,1
51,23191762363,treatment,0,0
52,1635056803,treatment,0,0
53,11755066,control,0,0
54,19624030460,treatment,0,0
55,238039859,treatment_B,1,1
56,18403487470,treatment_B,0,0
57,15120960518,treatment,0,0
58,12875545,control,5,1
59,20706511816,treatment_B,0,0
60,218487658,treatment,0,0
61,15665036340,treatment,0,0
62,202643363,treatment,0,0
63,9864008141,treatment_B,0,0
64,18662287297,treatment_B,0,0
65,10063035055,treatment_B,10,1
66,3113931895,treatment_B,1,1
67,21046706732,treatment_B,1,1
68,14656041387,control,0,0
69,23552388199,treatment,0,0
70,23476574970,control,0,0
71,11688962261,treatment_B,0,0
72,19991820662,treatment,0,0
73,20862187902,control,2,1
74,18709844322,treatment_B,0,0
75,23483307482,control,0,0
76,196203040,control,0,0
77,23108062000,treatment,0,0
78,19342608999,treatment,5,1
79,176838892,treatment,3,1
80,19782205593,treatment,0,0
81,16205481182,control,1,1
82,16205481182,control,1,1
83,1127947235,treatment_B,0,0
84,13894521057,control,0,0
85,10376949896,treatment,0,0
86,6540162587,treatment,0,0
87,188521954,treatment,0,0
88,14932314416,control,0,0
89,184035713,treatment_B,6,1
90,22779633682,treatment,0,0
91,218078574,treatment_B,0,0
92,8285211422,control,0,0
93,8603976367,treatment,0,0
94,19339603271,treatment_B,0,0
95,21219823314,control,0,0
96,21213341579,control,0,0
97,23107749827,treatment_B,0,0
98,258987837,treatment,0,0
99,11819981731,treatment_B,0,0
100,15976911421,treatment_B,0,0
101,463736554,treatment,0,0
102,182820243,control,1,1
103,23493482437,treatment_B,0,0
104,22944552717,treatment,0,0
105,17300495314,treatment,0,0
106,22757261418,treatment,0,0
107,283334529,treatment,4,1
108,21540917528,treatment,0,0
109,8107947477,control,0,0
110,2463983710,treatment_B,0,0
111,20045635100,control,0,0
112,17534392795,treatment,1,1
113,264734477,treatment,2,1
114,3871898718,treatment,0,0
115,14598168389,treatment,0,0
116,23085548273,control,0,0
117,15103848364,treatment_B,0,0
118,23001106440,treatment_B,0,0
119,276593857,treatment,0,0
120,3276935433,control,0,0
121,8926235269,treatment,0,0
