admin_status,days,f0_
non-admin,,2866451
admin,,36872
admin,0,279
admin,1,102
admin,2,40
admin,3,27
admin,4,28
admin,5,22
admin,6,26
admin,7,18
admin,8,22
admin,9,5
admin,10,8
admin,11,6
admin,12,11
admin,13,8
admin,14,16
admin,15,9
admin,16,5
admin,17,11
admin,18,10
admin,19,10
admin,20,10
admin,21,5
admin,22,12
admin,23,7
admin,24,7
admin,25,3
admin,26,2
admin,27,3
admin,28,9
admin,29,4
admin,30,6
admin,31,5
admin,32,4
admin,33,3
admin,34,6
admin,35,4
admin,36,2
admin,40,1
admin,41,4
admin,42,5
admin,43,3
admin,44,2
admin,48,2
admin,49,3
admin,50,3
admin,51,3
admin,52,1
admin,53,4
admin,55,2
admin,56,3
admin,60,1
admin,62,1
admin,63,3
admin,64,2
admin,65,3
admin,67,3
admin,69,1
admin,70,4
admin,71,1
admin,74,2
admin,76,1
admin,77,3
admin,79,2
admin,81,2
admin,82,2
admin,85,2
admin,86,3
admin,87,2
admin,92,1
admin,94,1
admin,96,1
admin,97,1
admin,98,1
admin,99,3
admin,102,2
admin,105,2
admin,107,1
admin,108,1
admin,112,1
admin,113,2
admin,114,1
admin,115,1
admin,116,1
admin,117,2
admin,118,1
admin,123,1
admin,124,1
admin,125,1
admin,127,2
admin,128,2
admin,129,1
admin,130,1
admin,132,1
admin,133,1
admin,142,1
admin,143,1
admin,147,1
admin,148,1
admin,150,1
admin,152,2
admin,153,2
admin,154,1
admin,166,1
admin,168,1
